,Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
AUSTIN_55_1,z1,1,8.59
z_8,z2,1,8.59
CEDAR_PARK_25_2,z3,1,8.59
AUSTIN_56_1,z4,1,8.59
z_7,z5,1,8.59
AUSTIN_57_1,z6,1,8.59
z_4,z7,1,8.59
AUSTIN_58_1,z8,1,8.59
AUSTIN_59_1,z9,1,8.59
AUSTIN_60_1,z10,1,8.59
z_3,z11,1,8.59
z_2,z12,1,8.59
DEL_VALLE_1_1,z13,1,8.59
CEDAR_CREEK_3_1,z14,1,8.59
z_5,z15,1,8.59
AUSTIN_1_1,z16,1,8.59
AUSTIN_2_1,z17,1,8.59
AUSTIN_3_1,z18,1,8.59
AUSTIN_4_1,z19,1,8.59
AUSTIN_5_1,z20,1,8.59
AUSTIN_6_1,z21,1,8.59
AUSTIN_7_1,z22,1,8.59
AUSTIN_7_2,z23,1,8.59
AUSTIN_8_1,z24,1,8.59
AUSTIN_9_1,z25,1,8.59
AUSTIN_10_1,z26,1,8.59
AUSTIN_11_1,z27,1,8.59
AUSTIN_12_1,z28,1,8.59
AUSTIN_12_2,z29,1,8.59
AUSTIN_13_1,z30,1,8.59
AUSTIN_13_2,z31,1,8.59
AUSTIN_14_1,z32,1,8.59
AUSTIN_15_1,z33,1,8.59
AUSTIN_16_1,z34,1,8.59
AUSTIN_16_2,z35,1,8.59
AUSTIN_17_1,z36,1,8.59
AUSTIN_18_1,z37,1,8.59
DEL_VALLE_4_1,z38,1,8.59
AUSTIN_19_1,z39,1,8.59
AUSTIN_20_1,z40,1,8.59
AUSTIN_21_1,z41,1,8.59
AUSTIN_22_1,z42,1,8.59
AUSTIN_23_1,z43,1,8.59
AUSTIN_24_1,z44,1,8.59
AUSTIN_25_1,z45,1,8.59
AUSTIN_25_2,z46,1,8.59
AUSTIN_26_1,z47,1,8.59
AUSTIN_26_2,z48,1,8.59
AUSTIN_27_1,z49,1,8.59
AUSTIN_27_2,z50,1,8.59
AUSTIN_28_1,z51,1,8.59
AUSTIN_29_1,z52,1,8.59
AUSTIN_29_2,z53,1,8.59
AUSTIN_30_1,z54,1,8.59
AUSTIN_31_1,z55,1,8.59
CEDAR_PARK_4_1,z56,1,8.59
MANCHACA_1_2,z57,1,8.59
AUSTIN_32_1,z58,1,8.59
CEDAR_PARK_5_1,z59,1,8.59
PFLUGERVILLE_1_1,z60,1,8.59
AUSTIN_33_1,z61,1,8.59
AUSTIN_34_1,z62,1,8.59
AUSTIN_35_1,z63,1,8.59
ROUND_ROCK_1_1,z64,1,8.59
ROUND_ROCK_1_2,z65,1,8.59
AUSTIN_36_1,z66,1,8.59
AUSTIN_37_1,z67,1,8.59
AUSTIN_38_1,z68,1,8.59
AUSTIN_39_1,z69,1,8.59
AUSTIN_39_2,z70,1,8.59
AUSTIN_40_1,z71,1,8.59
AUSTIN_41_1,z72,1,8.59
CEDAR_PARK_7_1,z73,1,8.59
PFLUGERVILLE_2_1,z74,1,8.59
AUSTIN_42_1,z75,1,8.59
AUSTIN_42_2,z76,1,8.59
AUSTIN_43_1,z77,1,8.59
AUSTIN_44_1,z78,1,8.59
AUSTIN_45_1,z79,1,8.59
AUSTIN_45_2,z80,1,8.59
AUSTIN_46_1,z81,1,8.59
AUSTIN_47_1,z82,1,8.59
DEL_VALLE_5_2,z83,1,8.59
z_1,z84,1,8.59
ROUND_ROCK_6_1,z85,1,8.59
AUSTIN_48_1,z86,1,8.59
MANCHACA_3_1,z87,1,8.59
MANCHACA_3_2,z88,1,8.59
AUSTIN_49_1,z89,1,8.59
AUSTIN_50_1,z90,1,8.59
MANCHACA_4_1,z91,1,8.59
MANCHACA_4_2,z92,1,8.59
AUSTIN_51_1,z93,1,8.59
AUSTIN_52_1,z94,1,8.59
AUSTIN_53_1,z95,1,8.59
AUSTIN_53_2,z96,1,8.59
MANCHACA_7_2,z97,1,8.59
MANCHACA_7_3,z98,1,8.59
AUSTIN_54_1,z99,1,8.59
AUSTIN_54_2,z100,1,8.59
z_6,z101,1,8.59