Time_Index,natural_gas,coal,nuclear,None
0,0.05306,0.05306,0.05306,0.05306
1,5.45,1.67,0.69,5.45
2,5.45,1.67,0.69,5.45
3,5.45,1.67,0.69,5.45
4,5.45,1.67,0.69,5.45
5,5.45,1.67,0.69,5.45
6,5.45,1.67,0.69,5.45
7,5.45,1.67,0.69,5.45
8,5.45,1.67,0.69,5.45
9,5.45,1.67,0.69,5.45
10,5.45,1.67,0.69,5.45
11,5.45,1.67,0.69,5.45
12,5.45,1.67,0.69,5.45
13,5.45,1.67,0.69,5.45
14,5.45,1.67,0.69,5.45
15,5.45,1.67,0.69,5.45
16,5.45,1.67,0.69,5.45
17,5.45,1.67,0.69,5.45
18,5.45,1.67,0.69,5.45
19,5.45,1.67,0.69,5.45
20,5.45,1.67,0.69,5.45
21,5.45,1.67,0.69,5.45
22,5.45,1.67,0.69,5.45
23,5.45,1.67,0.69,5.45
24,5.45,1.67,0.69,5.45