Time_Index,NENG_CT_NG,NENG_ME_NG,NENGREST_NG,west_north_central_coal,new_england_uranium,NENG_CT_NG_ccs90,NENG_ME_NG_ccs90,NENGREST_NG_ccs90,NENG_CT_NG_ccs100,NENG_ME_NG_ccs100,NENGREST_NG_ccs100,None
0,0.05306,0.05306,0.05306,0.09552,0,0.00531,0.00531,0.00531,0,0,0,0
1,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
2,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
3,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
4,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
5,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
6,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
7,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
8,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
9,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
10,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
11,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
12,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
13,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
14,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
15,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
16,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
17,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
18,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
19,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
20,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
21,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
22,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
23,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
24,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0