Time_Index,MA_landbasedwind_class1_moderate,CT_landbasedwind_class1_moderate,ME_landbasedwind_class1_moderate
1,0.966,0.84,0.814
2,0.972,0.848,0.749
3,0.967,0.872,0.594
4,0.969,0.856,0.514
5,0.953,0.8,0.436
6,0.953,0.749,0.424
7,0.95,0.758,0.391
8,0.917,0.789,0.338
9,0.876,0.816,0.387
10,0.594,0.414,0.183
11,0.662,0.514,0.179
12,0.78,0.783,0.202
13,0.785,0.771,0.268
14,0.714,0.59,0.303
15,0.728,0.549,0.269
16,0.754,0.549,0.223
17,0.761,0.589,0.202
18,0.703,0.516,0.232
19,0.673,0.633,0.291
20,0.717,0.642,0.241
21,0.768,0.764,0.246
22,0.797,0.816,0.226
23,0.846,0.819,0.172
24,0.842,0.837,0.202
25,0.966,0.84,0.814
26,0.972,0.848,0.749
27,0.967,0.872,0.594
28,0.969,0.856,0.514
29,0.953,0.8,0.436
30,0.953,0.749,0.424
31,0.95,0.758,0.391
32,0.917,0.789,0.338
33,0.876,0.816,0.387
34,0.594,0.414,0.183
35,0.662,0.514,0.179
36,0.78,0.783,0.202
37,0.785,0.771,0.268
38,0.714,0.59,0.303
39,0.728,0.549,0.269
40,0.754,0.549,0.223
41,0.761,0.589,0.202
42,0.703,0.516,0.232
43,0.673,0.633,0.291
44,0.717,0.642,0.241
45,0.768,0.764,0.246
46,0.797,0.816,0.226
47,0.846,0.819,0.172
48,0.842,0.837,0.202
49,0.966,0.84,0.814
50,0.972,0.848,0.749
51,0.967,0.872,0.594
52,0.969,0.856,0.514
53,0.953,0.8,0.436
54,0.953,0.749,0.424
55,0.95,0.758,0.391
56,0.917,0.789,0.338
57,0.876,0.816,0.387
58,0.594,0.414,0.183
59,0.662,0.514,0.179
60,0.78,0.783,0.202
61,0.785,0.771,0.268
62,0.714,0.59,0.303
63,0.728,0.549,0.269
64,0.754,0.549,0.223
65,0.761,0.589,0.202
66,0.703,0.516,0.232
67,0.673,0.633,0.291
68,0.717,0.642,0.241
69,0.768,0.764,0.246
70,0.797,0.816,0.226
71,0.846,0.819,0.172
72,0.842,0.837,0.202
73,0.966,0.84,0.814
74,0.972,0.848,0.749
75,0.967,0.872,0.594
76,0.969,0.856,0.514
77,0.953,0.8,0.436
78,0.953,0.749,0.424
79,0.95,0.758,0.391
80,0.917,0.789,0.338
81,0.876,0.816,0.387
82,0.594,0.414,0.183
83,0.662,0.514,0.179
84,0.78,0.783,0.202
85,0.785,0.771,0.268
86,0.714,0.59,0.303
87,0.728,0.549,0.269
88,0.754,0.549,0.223
89,0.761,0.589,0.202
90,0.703,0.516,0.232
91,0.673,0.633,0.291
92,0.717,0.642,0.241
93,0.768,0.764,0.246
94,0.797,0.816,0.226
95,0.846,0.819,0.172
96,0.842,0.837,0.202
97,0.966,0.84,0.814
98,0.972,0.848,0.749
99,0.967,0.872,0.594
100,0.969,0.856,0.514
101,0.953,0.8,0.436
102,0.953,0.749,0.424
103,0.95,0.758,0.391
104,0.917,0.789,0.338
105,0.876,0.816,0.387
106,0.594,0.414,0.183
107,0.662,0.514,0.179
108,0.78,0.783,0.202
109,0.785,0.771,0.268
110,0.714,0.59,0.303
111,0.728,0.549,0.269
112,0.754,0.549,0.223
113,0.761,0.589,0.202
114,0.703,0.516,0.232
115,0.673,0.633,0.291
116,0.717,0.642,0.241
117,0.768,0.764,0.246
118,0.797,0.816,0.226
119,0.846,0.819,0.172
120,0.842,0.837,0.202
121,0.966,0.84,0.814
122,0.972,0.848,0.749
123,0.967,0.872,0.594
124,0.969,0.856,0.514
125,0.953,0.8,0.436
126,0.953,0.749,0.424
127,0.95,0.758,0.391
128,0.917,0.789,0.338
129,0.876,0.816,0.387
130,0.594,0.414,0.183
131,0.662,0.514,0.179
132,0.78,0.783,0.202
133,0.785,0.771,0.268
134,0.714,0.59,0.303
135,0.728,0.549,0.269
136,0.754,0.549,0.223
137,0.761,0.589,0.202
138,0.703,0.516,0.232
139,0.673,0.633,0.291
140,0.717,0.642,0.241
141,0.768,0.764,0.246
142,0.797,0.816,0.226
143,0.846,0.819,0.172
144,0.842,0.837,0.202
145,0.966,0.84,0.814
146,0.972,0.848,0.749
147,0.967,0.872,0.594
148,0.969,0.856,0.514
149,0.953,0.8,0.436
150,0.953,0.749,0.424
151,0.95,0.758,0.391
152,0.917,0.789,0.338
153,0.876,0.816,0.387
154,0.594,0.414,0.183
155,0.662,0.514,0.179
156,0.78,0.783,0.202
157,0.785,0.771,0.268
158,0.714,0.59,0.303
159,0.728,0.549,0.269
160,0.754,0.549,0.223
161,0.761,0.589,0.202
162,0.703,0.516,0.232
163,0.673,0.633,0.291
164,0.717,0.642,0.241
165,0.768,0.764,0.246
166,0.797,0.816,0.226
167,0.846,0.819,0.172
168,0.842,0.837,0.202
169,0.966,0.84,0.814
170,0.972,0.848,0.749
171,0.967,0.872,0.594
172,0.969,0.856,0.514
173,0.953,0.8,0.436
174,0.953,0.749,0.424
175,0.95,0.758,0.391
176,0.917,0.789,0.338
177,0.876,0.816,0.387
178,0.594,0.414,0.183
179,0.662,0.514,0.179
180,0.78,0.783,0.202
181,0.785,0.771,0.268
182,0.714,0.59,0.303
183,0.728,0.549,0.269
184,0.754,0.549,0.223
185,0.761,0.589,0.202
186,0.703,0.516,0.232
187,0.673,0.633,0.291
188,0.717,0.642,0.241
189,0.768,0.764,0.246
190,0.797,0.816,0.226
191,0.846,0.819,0.172
192,0.842,0.837,0.202
193,0.966,0.84,0.814
194,0.972,0.848,0.749
195,0.967,0.872,0.594
196,0.969,0.856,0.514
197,0.953,0.8,0.436
198,0.953,0.749,0.424
199,0.95,0.758,0.391
200,0.917,0.789,0.338
201,0.876,0.816,0.387
202,0.594,0.414,0.183
203,0.662,0.514,0.179
204,0.78,0.783,0.202
205,0.785,0.771,0.268
206,0.714,0.59,0.303
207,0.728,0.549,0.269
208,0.754,0.549,0.223
209,0.761,0.589,0.202
210,0.703,0.516,0.232
211,0.673,0.633,0.291
212,0.717,0.642,0.241
213,0.768,0.764,0.246
214,0.797,0.816,0.226
215,0.846,0.819,0.172
216,0.842,0.837,0.202
217,0.966,0.84,0.814
218,0.972,0.848,0.749
219,0.967,0.872,0.594
220,0.969,0.856,0.514
221,0.953,0.8,0.436
222,0.953,0.749,0.424
223,0.95,0.758,0.391
224,0.917,0.789,0.338
225,0.876,0.816,0.387
226,0.594,0.414,0.183
227,0.662,0.514,0.179
228,0.78,0.783,0.202
229,0.785,0.771,0.268
230,0.714,0.59,0.303
231,0.728,0.549,0.269
232,0.754,0.549,0.223
233,0.761,0.589,0.202
234,0.703,0.516,0.232
235,0.673,0.633,0.291
236,0.717,0.642,0.241
237,0.768,0.764,0.246
238,0.797,0.816,0.226
239,0.846,0.819,0.172
240,0.842,0.837,0.202
241,0.966,0.84,0.814
242,0.972,0.848,0.749
243,0.967,0.872,0.594
244,0.969,0.856,0.514
245,0.953,0.8,0.436
246,0.953,0.749,0.424
247,0.95,0.758,0.391
248,0.917,0.789,0.338
249,0.876,0.816,0.387
250,0.594,0.414,0.183
251,0.662,0.514,0.179
252,0.78,0.783,0.202
253,0.785,0.771,0.268
254,0.714,0.59,0.303
255,0.728,0.549,0.269
256,0.754,0.549,0.223
257,0.761,0.589,0.202
258,0.703,0.516,0.232
259,0.673,0.633,0.291
260,0.717,0.642,0.241
261,0.768,0.764,0.246
262,0.797,0.816,0.226
263,0.846,0.819,0.172
264,0.842,0.837,0.202
265,0.966,0.84,0.814
266,0.972,0.848,0.749
267,0.967,0.872,0.594
268,0.969,0.856,0.514
269,0.953,0.8,0.436
270,0.953,0.749,0.424
271,0.95,0.758,0.391
272,0.917,0.789,0.338
273,0.876,0.816,0.387
274,0.594,0.414,0.183
275,0.662,0.514,0.179
276,0.78,0.783,0.202
277,0.785,0.771,0.268
278,0.714,0.59,0.303
279,0.728,0.549,0.269
280,0.754,0.549,0.223
281,0.761,0.589,0.202
282,0.703,0.516,0.232
283,0.673,0.633,0.291
284,0.717,0.642,0.241
285,0.768,0.764,0.246
286,0.797,0.816,0.226
287,0.846,0.819,0.172
288,0.842,0.837,0.202
289,0.966,0.84,0.814
290,0.972,0.848,0.749
291,0.967,0.872,0.594
292,0.969,0.856,0.514
293,0.953,0.8,0.436
294,0.953,0.749,0.424
295,0.95,0.758,0.391
296,0.917,0.789,0.338
297,0.876,0.816,0.387
298,0.594,0.414,0.183
299,0.662,0.514,0.179
300,0.78,0.783,0.202
301,0.785,0.771,0.268
302,0.714,0.59,0.303
303,0.728,0.549,0.269
304,0.754,0.549,0.223
305,0.761,0.589,0.202
306,0.703,0.516,0.232
307,0.673,0.633,0.291
308,0.717,0.642,0.241
309,0.768,0.764,0.246
310,0.797,0.816,0.226
311,0.846,0.819,0.172
312,0.842,0.837,0.202
313,0.966,0.84,0.814
314,0.972,0.848,0.749
315,0.967,0.872,0.594
316,0.969,0.856,0.514
317,0.953,0.8,0.436
318,0.953,0.749,0.424
319,0.95,0.758,0.391
320,0.917,0.789,0.338
321,0.876,0.816,0.387
322,0.594,0.414,0.183
323,0.662,0.514,0.179
324,0.78,0.783,0.202
325,0.785,0.771,0.268
326,0.714,0.59,0.303
327,0.728,0.549,0.269
328,0.754,0.549,0.223
329,0.761,0.589,0.202
330,0.703,0.516,0.232
331,0.673,0.633,0.291
332,0.717,0.642,0.241
333,0.768,0.764,0.246
334,0.797,0.816,0.226
335,0.846,0.819,0.172
336,0.842,0.837,0.202
337,0.966,0.84,0.814
338,0.972,0.848,0.749
339,0.967,0.872,0.594
340,0.969,0.856,0.514
341,0.953,0.8,0.436
342,0.953,0.749,0.424
343,0.95,0.758,0.391
344,0.917,0.789,0.338
345,0.876,0.816,0.387
346,0.594,0.414,0.183
347,0.662,0.514,0.179
348,0.78,0.783,0.202
349,0.785,0.771,0.268
350,0.714,0.59,0.303
351,0.728,0.549,0.269
352,0.754,0.549,0.223
353,0.761,0.589,0.202
354,0.703,0.516,0.232
355,0.673,0.633,0.291
356,0.717,0.642,0.241
357,0.768,0.764,0.246
358,0.797,0.816,0.226
359,0.846,0.819,0.172
360,0.842,0.837,0.202
361,0.966,0.84,0.814
362,0.972,0.848,0.749
363,0.967,0.872,0.594
364,0.969,0.856,0.514
365,0.953,0.8,0.436
366,0.953,0.749,0.424
367,0.95,0.758,0.391
368,0.917,0.789,0.338
369,0.876,0.816,0.387
370,0.594,0.414,0.183
371,0.662,0.514,0.179
372,0.78,0.783,0.202
373,0.785,0.771,0.268
374,0.714,0.59,0.303
375,0.728,0.549,0.269
376,0.754,0.549,0.223
377,0.761,0.589,0.202
378,0.703,0.516,0.232
379,0.673,0.633,0.291
380,0.717,0.642,0.241
381,0.768,0.764,0.246
382,0.797,0.816,0.226
383,0.846,0.819,0.172
384,0.842,0.837,0.202
385,0.966,0.84,0.814
386,0.972,0.848,0.749
387,0.967,0.872,0.594
388,0.969,0.856,0.514
389,0.953,0.8,0.436
390,0.953,0.749,0.424
391,0.95,0.758,0.391
392,0.917,0.789,0.338
393,0.876,0.816,0.387
394,0.594,0.414,0.183
395,0.662,0.514,0.179
396,0.78,0.783,0.202
397,0.785,0.771,0.268
398,0.714,0.59,0.303
399,0.728,0.549,0.269
400,0.754,0.549,0.223
401,0.761,0.589,0.202
402,0.703,0.516,0.232
403,0.673,0.633,0.291
404,0.717,0.642,0.241
405,0.768,0.764,0.246
406,0.797,0.816,0.226
407,0.846,0.819,0.172
408,0.842,0.837,0.202
409,0.966,0.84,0.814
410,0.972,0.848,0.749
411,0.967,0.872,0.594
412,0.969,0.856,0.514
413,0.953,0.8,0.436
414,0.953,0.749,0.424
415,0.95,0.758,0.391
416,0.917,0.789,0.338
417,0.876,0.816,0.387
418,0.594,0.414,0.183
419,0.662,0.514,0.179
420,0.78,0.783,0.202
421,0.785,0.771,0.268
422,0.714,0.59,0.303
423,0.728,0.549,0.269
424,0.754,0.549,0.223
425,0.761,0.589,0.202
426,0.703,0.516,0.232
427,0.673,0.633,0.291
428,0.717,0.642,0.241
429,0.768,0.764,0.246
430,0.797,0.816,0.226
431,0.846,0.819,0.172
432,0.842,0.837,0.202
433,0.966,0.84,0.814
434,0.972,0.848,0.749
435,0.967,0.872,0.594
436,0.969,0.856,0.514
437,0.953,0.8,0.436
438,0.953,0.749,0.424
439,0.95,0.758,0.391
440,0.917,0.789,0.338
441,0.876,0.816,0.387
442,0.594,0.414,0.183
443,0.662,0.514,0.179
444,0.78,0.783,0.202
445,0.785,0.771,0.268
446,0.714,0.59,0.303
447,0.728,0.549,0.269
448,0.754,0.549,0.223
449,0.761,0.589,0.202
450,0.703,0.516,0.232
451,0.673,0.633,0.291
452,0.717,0.642,0.241
453,0.768,0.764,0.246
454,0.797,0.816,0.226
455,0.846,0.819,0.172
456,0.842,0.837,0.202
457,0.966,0.84,0.814
458,0.972,0.848,0.749
459,0.967,0.872,0.594
460,0.969,0.856,0.514
461,0.953,0.8,0.436
462,0.953,0.749,0.424
463,0.95,0.758,0.391
464,0.917,0.789,0.338
465,0.876,0.816,0.387
466,0.594,0.414,0.183
467,0.662,0.514,0.179
468,0.78,0.783,0.202
469,0.785,0.771,0.268
470,0.714,0.59,0.303
471,0.728,0.549,0.269
472,0.754,0.549,0.223
473,0.761,0.589,0.202
474,0.703,0.516,0.232
475,0.673,0.633,0.291
476,0.717,0.642,0.241
477,0.768,0.764,0.246
478,0.797,0.816,0.226
479,0.846,0.819,0.172
480,0.842,0.837,0.202
481,0.966,0.84,0.814
482,0.972,0.848,0.749
483,0.967,0.872,0.594
484,0.969,0.856,0.514
485,0.953,0.8,0.436
486,0.953,0.749,0.424
487,0.95,0.758,0.391
488,0.917,0.789,0.338
489,0.876,0.816,0.387
490,0.594,0.414,0.183
491,0.662,0.514,0.179
492,0.78,0.783,0.202
493,0.785,0.771,0.268
494,0.714,0.59,0.303
495,0.728,0.549,0.269
496,0.754,0.549,0.223
497,0.761,0.589,0.202
498,0.703,0.516,0.232
499,0.673,0.633,0.291
500,0.717,0.642,0.241
501,0.768,0.764,0.246
502,0.797,0.816,0.226
503,0.846,0.819,0.172
504,0.842,0.837,0.202
505,0.966,0.84,0.814
506,0.972,0.848,0.749
507,0.967,0.872,0.594
508,0.969,0.856,0.514
509,0.953,0.8,0.436
510,0.953,0.749,0.424
511,0.95,0.758,0.391
512,0.917,0.789,0.338
513,0.876,0.816,0.387
514,0.594,0.414,0.183
515,0.662,0.514,0.179
516,0.78,0.783,0.202
517,0.785,0.771,0.268
518,0.714,0.59,0.303
519,0.728,0.549,0.269
520,0.754,0.549,0.223
521,0.761,0.589,0.202
522,0.703,0.516,0.232
523,0.673,0.633,0.291
524,0.717,0.642,0.241
525,0.768,0.764,0.246
526,0.797,0.816,0.226
527,0.846,0.819,0.172
528,0.842,0.837,0.202
529,0.966,0.84,0.814
530,0.972,0.848,0.749
531,0.967,0.872,0.594
532,0.969,0.856,0.514
533,0.953,0.8,0.436
534,0.953,0.749,0.424
535,0.95,0.758,0.391
536,0.917,0.789,0.338
537,0.876,0.816,0.387
538,0.594,0.414,0.183
539,0.662,0.514,0.179
540,0.78,0.783,0.202
541,0.785,0.771,0.268
542,0.714,0.59,0.303
543,0.728,0.549,0.269
544,0.754,0.549,0.223
545,0.761,0.589,0.202
546,0.703,0.516,0.232
547,0.673,0.633,0.291
548,0.717,0.642,0.241
549,0.768,0.764,0.246
550,0.797,0.816,0.226
551,0.846,0.819,0.172
552,0.842,0.837,0.202
553,0.966,0.84,0.814
554,0.972,0.848,0.749
555,0.967,0.872,0.594
556,0.969,0.856,0.514
557,0.953,0.8,0.436
558,0.953,0.749,0.424
559,0.95,0.758,0.391
560,0.917,0.789,0.338
561,0.876,0.816,0.387
562,0.594,0.414,0.183
563,0.662,0.514,0.179
564,0.78,0.783,0.202
565,0.785,0.771,0.268
566,0.714,0.59,0.303
567,0.728,0.549,0.269
568,0.754,0.549,0.223
569,0.761,0.589,0.202
570,0.703,0.516,0.232
571,0.673,0.633,0.291
572,0.717,0.642,0.241
573,0.768,0.764,0.246
574,0.797,0.816,0.226
575,0.846,0.819,0.172
576,0.842,0.837,0.202
577,0.966,0.84,0.814
578,0.972,0.848,0.749
579,0.967,0.872,0.594
580,0.969,0.856,0.514
581,0.953,0.8,0.436
582,0.953,0.749,0.424
583,0.95,0.758,0.391
584,0.917,0.789,0.338
585,0.876,0.816,0.387
586,0.594,0.414,0.183
587,0.662,0.514,0.179
588,0.78,0.783,0.202
589,0.785,0.771,0.268
590,0.714,0.59,0.303
591,0.728,0.549,0.269
592,0.754,0.549,0.223
593,0.761,0.589,0.202
594,0.703,0.516,0.232
595,0.673,0.633,0.291
596,0.717,0.642,0.241
597,0.768,0.764,0.246
598,0.797,0.816,0.226
599,0.846,0.819,0.172
600,0.842,0.837,0.202
601,0.966,0.84,0.814
602,0.972,0.848,0.749
603,0.967,0.872,0.594
604,0.969,0.856,0.514
605,0.953,0.8,0.436
606,0.953,0.749,0.424
607,0.95,0.758,0.391
608,0.917,0.789,0.338
609,0.876,0.816,0.387
610,0.594,0.414,0.183
611,0.662,0.514,0.179
612,0.78,0.783,0.202
613,0.785,0.771,0.268
614,0.714,0.59,0.303
615,0.728,0.549,0.269
616,0.754,0.549,0.223
617,0.761,0.589,0.202
618,0.703,0.516,0.232
619,0.673,0.633,0.291
620,0.717,0.642,0.241
621,0.768,0.764,0.246
622,0.797,0.816,0.226
623,0.846,0.819,0.172
624,0.842,0.837,0.202
625,0.966,0.84,0.814
626,0.972,0.848,0.749
627,0.967,0.872,0.594
628,0.969,0.856,0.514
629,0.953,0.8,0.436
630,0.953,0.749,0.424
631,0.95,0.758,0.391
632,0.917,0.789,0.338
633,0.876,0.816,0.387
634,0.594,0.414,0.183
635,0.662,0.514,0.179
636,0.78,0.783,0.202
637,0.785,0.771,0.268
638,0.714,0.59,0.303
639,0.728,0.549,0.269
640,0.754,0.549,0.223
641,0.761,0.589,0.202
642,0.703,0.516,0.232
643,0.673,0.633,0.291
644,0.717,0.642,0.241
645,0.768,0.764,0.246
646,0.797,0.816,0.226
647,0.846,0.819,0.172
648,0.842,0.837,0.202
649,0.966,0.84,0.814
650,0.972,0.848,0.749
651,0.967,0.872,0.594
652,0.969,0.856,0.514
653,0.953,0.8,0.436
654,0.953,0.749,0.424
655,0.95,0.758,0.391
656,0.917,0.789,0.338
657,0.876,0.816,0.387
658,0.594,0.414,0.183
659,0.662,0.514,0.179
660,0.78,0.783,0.202
661,0.785,0.771,0.268
662,0.714,0.59,0.303
663,0.728,0.549,0.269
664,0.754,0.549,0.223
665,0.761,0.589,0.202
666,0.703,0.516,0.232
667,0.673,0.633,0.291
668,0.717,0.642,0.241
669,0.768,0.764,0.246
670,0.797,0.816,0.226
671,0.846,0.819,0.172
672,0.842,0.837,0.202
673,0.966,0.84,0.814
674,0.972,0.848,0.749
675,0.967,0.872,0.594
676,0.969,0.856,0.514
677,0.953,0.8,0.436
678,0.953,0.749,0.424
679,0.95,0.758,0.391
680,0.917,0.789,0.338
681,0.876,0.816,0.387
682,0.594,0.414,0.183
683,0.662,0.514,0.179
684,0.78,0.783,0.202
685,0.785,0.771,0.268
686,0.714,0.59,0.303
687,0.728,0.549,0.269
688,0.754,0.549,0.223
689,0.761,0.589,0.202
690,0.703,0.516,0.232
691,0.673,0.633,0.291
692,0.717,0.642,0.241
693,0.768,0.764,0.246
694,0.797,0.816,0.226
695,0.846,0.819,0.172
696,0.842,0.837,0.202
697,0.966,0.84,0.814
698,0.972,0.848,0.749
699,0.967,0.872,0.594
700,0.969,0.856,0.514
701,0.953,0.8,0.436
702,0.953,0.749,0.424
703,0.95,0.758,0.391
704,0.917,0.789,0.338
705,0.876,0.816,0.387
706,0.594,0.414,0.183
707,0.662,0.514,0.179
708,0.78,0.783,0.202
709,0.785,0.771,0.268
710,0.714,0.59,0.303
711,0.728,0.549,0.269
712,0.754,0.549,0.223
713,0.761,0.589,0.202
714,0.703,0.516,0.232
715,0.673,0.633,0.291
716,0.717,0.642,0.241
717,0.768,0.764,0.246
718,0.797,0.816,0.226
719,0.846,0.819,0.172
720,0.842,0.837,0.202
721,0.966,0.84,0.814
722,0.972,0.848,0.749
723,0.967,0.872,0.594
724,0.969,0.856,0.514
725,0.953,0.8,0.436
726,0.953,0.749,0.424
727,0.95,0.758,0.391
728,0.917,0.789,0.338
729,0.876,0.816,0.387
730,0.594,0.414,0.183
731,0.662,0.514,0.179
732,0.78,0.783,0.202
733,0.785,0.771,0.268
734,0.714,0.59,0.303
735,0.728,0.549,0.269
736,0.754,0.549,0.223
737,0.761,0.589,0.202
738,0.703,0.516,0.232
739,0.673,0.633,0.291
740,0.717,0.642,0.241
741,0.768,0.764,0.246
742,0.797,0.816,0.226
743,0.846,0.819,0.172
744,0.842,0.837,0.202
745,0.966,0.84,0.814
746,0.972,0.848,0.749
747,0.967,0.872,0.594
748,0.969,0.856,0.514
749,0.953,0.8,0.436
750,0.953,0.749,0.424
751,0.95,0.758,0.391
752,0.917,0.789,0.338
753,0.876,0.816,0.387
754,0.594,0.414,0.183
755,0.662,0.514,0.179
756,0.78,0.783,0.202
757,0.785,0.771,0.268
758,0.714,0.59,0.303
759,0.728,0.549,0.269
760,0.754,0.549,0.223
761,0.761,0.589,0.202
762,0.703,0.516,0.232
763,0.673,0.633,0.291
764,0.717,0.642,0.241
765,0.768,0.764,0.246
766,0.797,0.816,0.226
767,0.846,0.819,0.172
768,0.842,0.837,0.202
769,0.966,0.84,0.814
770,0.972,0.848,0.749
771,0.967,0.872,0.594
772,0.969,0.856,0.514
773,0.953,0.8,0.436
774,0.953,0.749,0.424
775,0.95,0.758,0.391
776,0.917,0.789,0.338
777,0.876,0.816,0.387
778,0.594,0.414,0.183
779,0.662,0.514,0.179
780,0.78,0.783,0.202
781,0.785,0.771,0.268
782,0.714,0.59,0.303
783,0.728,0.549,0.269
784,0.754,0.549,0.223
785,0.761,0.589,0.202
786,0.703,0.516,0.232
787,0.673,0.633,0.291
788,0.717,0.642,0.241
789,0.768,0.764,0.246
790,0.797,0.816,0.226
791,0.846,0.819,0.172
792,0.842,0.837,0.202
793,0.966,0.84,0.814
794,0.972,0.848,0.749
795,0.967,0.872,0.594
796,0.969,0.856,0.514
797,0.953,0.8,0.436
798,0.953,0.749,0.424
799,0.95,0.758,0.391
800,0.917,0.789,0.338
801,0.876,0.816,0.387
802,0.594,0.414,0.183
803,0.662,0.514,0.179
804,0.78,0.783,0.202
805,0.785,0.771,0.268
806,0.714,0.59,0.303
807,0.728,0.549,0.269
808,0.754,0.549,0.223
809,0.761,0.589,0.202
810,0.703,0.516,0.232
811,0.673,0.633,0.291
812,0.717,0.642,0.241
813,0.768,0.764,0.246
814,0.797,0.816,0.226
815,0.846,0.819,0.172
816,0.842,0.837,0.202
817,0.966,0.84,0.814
818,0.972,0.848,0.749
819,0.967,0.872,0.594
820,0.969,0.856,0.514
821,0.953,0.8,0.436
822,0.953,0.749,0.424
823,0.95,0.758,0.391
824,0.917,0.789,0.338
825,0.876,0.816,0.387
826,0.594,0.414,0.183
827,0.662,0.514,0.179
828,0.78,0.783,0.202
829,0.785,0.771,0.268
830,0.714,0.59,0.303
831,0.728,0.549,0.269
832,0.754,0.549,0.223
833,0.761,0.589,0.202
834,0.703,0.516,0.232
835,0.673,0.633,0.291
836,0.717,0.642,0.241
837,0.768,0.764,0.246
838,0.797,0.816,0.226
839,0.846,0.819,0.172
840,0.842,0.837,0.202
841,0.966,0.84,0.814
842,0.972,0.848,0.749
843,0.967,0.872,0.594
844,0.969,0.856,0.514
845,0.953,0.8,0.436
846,0.953,0.749,0.424
847,0.95,0.758,0.391
848,0.917,0.789,0.338
849,0.876,0.816,0.387
850,0.594,0.414,0.183
851,0.662,0.514,0.179
852,0.78,0.783,0.202
853,0.785,0.771,0.268
854,0.714,0.59,0.303
855,0.728,0.549,0.269
