Resource,Zone,Model,Retrofit_Id,New_Build,Can_Retire,Retrofit,Can_Retrofit,Retrofit_efficiency,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MGA,Resource_Type,region,cluster
MA_natural_gas_combined_cycle,1,1,0,1,0,0,0,0,0,-1,0,65400,10287,3.55,7.43,MA_NG,250,91,2,6,6,0.64,0.64,0.468,0.25,0.5,0,0,1,natural_gas_fired_combined_cycle,MA,1
CT_natural_gas_combined_cycle,2,1,0,1,0,0,0,0,0,-1,0,65400,9698,3.57,7.12,CT_NG,250,91,2,6,6,0.64,0.64,0.338,0.133332722,0.266665444,0,0,1,natural_gas_fired_combined_cycle,CT,1
ME_natural_gas_combined_cycle,3,1,0,1,0,0,0,0,0,-1,0,65400,16291,4.5,12.62,ME_NG,250,91,2,6,6,0.64,0.64,0.474,0.033333333,0.066666667,0,0,1,natural_gas_fired_combined_cycle,ME,1
MA_coal_super_1,1,1,1,0,1,0,1,0,6000,0,0,112000,10287,0,7.43,coal,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,Coal_super,MA,1
MA_coal_super_2,1,1,2,0,1,0,1,0,6000,0,0,112000,10287,0,7.43,coal,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,Coal_super,MA,1
CT_coal_super_1,1,1,1,0,1,0,1,0,6000,0,0,112000,10287,0,7.43,coal,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,Coal_super,CT,1
CT_coal_super_2,1,1,2,0,1,0,1,0,6000,0,0,112000,10287,0,7.43,coal,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,Coal_super,CT,1
ME_coal_super_1,1,1,1,0,1,0,1,0,6000,0,0,112000,10287,0,7.43,coal,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,Coal_super,ME,1
ME_coal_super_2,1,1,2,0,1,0,1,0,6000,0,0,112000,10287,0,7.43,coal,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,Coal_super,ME,1
MA_20A_retrofit_1,1,1,1,1,0,1,0,0.85,0,-1,0,2342,10287,0,5,blue_ammonia,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,ammonia,MA,1
MA_20A_retrofit_2,1,1,2,1,0,1,0,0.85,0,-1,0,2342,10287,0,5,blue_ammonia,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,ammonia,MA,1
CT_20A_retrofit_1,1,1,1,1,0,1,0,0.85,0,-1,0,2342,10287,0,5,blue_ammonia,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,ammonia,CT,1
CT_20A_retrofit_2,1,1,2,1,0,1,0,0.85,0,-1,0,2342,10287,0,5,blue_ammonia,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,ammonia,CT,1
ME_20A_retrofit_1,1,1,1,1,0,1,0,0.85,0,-1,0,2342,10287,0,5,blue_ammonia,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,ammonia,ME,1
ME_20A_retrofit_2,1,1,2,1,0,1,0,0.85,0,-1,0,2342,10287,0,5,blue_ammonia,300,17,2,4,4,0.64,0.64,0.55,0.25,0.25,0,0,1,ammonia,ME,1